episode_id,bank,quarter,metric,reported_direction,reported_value,reported_prior,n_qa_hits,qa_finbert_net,narrative_direction,source_quote,speaker,claim,faithful
hsbc_2025_h1,hsbc,2025-interim,credit_impairment,down,-1065.0,-876.0,5,-0.20121614933013915,down,"I have three questions. The first is that I would want to ask about what are the outstanding parts of the threshold deduction related to the BoCom, if there is further impairment on BoCom? If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET…",KATHERINE LEI,Reported credit_impairment moved down (-876.0→-1065.0); Q&A tone on related turns is down (net=-0.20).,True
hsbc_2025_h1,hsbc,2025-interim,operating_costs,down,-8920.0,-8102.0,4,-0.11491034924983977,down,"I have three questions. The first is that I would want to ask about what are the outstanding parts of the threshold deduction related to the BoCom, if there is further impairment on BoCom? If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET…",KATHERINE LEI,Reported operating_costs moved down (-8102.0→-8920.0); Q&A tone on related turns is down (net=-0.11).,True
hsbc_2025_h1,hsbc,2025-interim,cet1_ratio,flat,0.146,0.147,3,0.0,flat,"I have three questions. The first is that I would want to ask about what are the outstanding parts of the threshold deduction related to the BoCom, if there is further impairment on BoCom? If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET…",KATHERINE LEI,Reported cet1_ratio moved flat (0.147→0.146); Q&A tone on related turns is flat (net=0.00).,True
hsbc_2025_h1,hsbc,2025-interim,total_income,down,16473.0,17649.0,5,-0.10928786993026733,down,"I have two questions. The first is about the non-interest income. I’ve seen that HSBC delivered quite strong non-interest income in both quarter one and quarter two, primarily driven by the wealth management FX and the capital markets-related business. I wonder how you see the sustainability of this momentum going for…",KENDRA YAN,Reported total_income moved down (17649.0→16473.0); Q&A tone on related turns is down (net=-0.11).,True
barclays_2026_h1,barclays,2026-q2,credit_impairment,down,-1394.0,-1112.0,0,,,,,Reported credit_impairment direction=down on 2026-q2; no clear Q&A hit.,
barclays_2026_h1,barclays,2026-q2,operating_costs,down,-8873.0,-8407.0,2,0.0,flat,"Hi, morning. Thanks for the questions. The �rst one was back on the US Consumer [Bank]. There's obviously a lot going on in the quarter with [American Airlines] and Best Egg. I think you've previously said that the Q1 [income] �gure of £983m, with maybe a little bit of a growth, was sort of a reasonable gauge into Q3 …",Guy Stebbings,Reported operating_costs moved down (-8407.0→-8873.0); Q&A tone on related turns is flat (net=0.00).,False
barclays_2026_h1,barclays,2026-q2,cet1_ratio,flat,0.143,14.3,0,,,,,Reported cet1_ratio direction=flat on 2026-q2; no clear Q&A hit.,
barclays_2026_h1,barclays,2026-q2,total_income,up,16501.0,14896.0,4,-0.18761305510997772,down,"Hi, thank you. I've got two questions. So one, just coming back on the additional SCAs, I was actually a bit surprised by the 100% return on investment. So, I just really wanted to understand a bit better, like if the returns on that type of investment are so high, wouldn't the Group be doing that kind of investment i…",Amit Goel,Reported total_income moved up (14896.0→16501.0); Q&A tone on related turns is down (net=-0.19).,False
