Topic,Count,Name,Representation,Representative_Docs
-1,25,-1_would_terms_think_billion,"['would', 'terms', 'think', 'billion', 'nii', 'thanks', 'quarter', 'could', 'thank', 'bit']","['good morning venkat anna thanks taking questions two please first focusing return targets guess halfway point strategic plan bank better expected venkat mentioned beaten global markets six quarters row consensus pretty close billion revenue target next year market well billion expectations investment bank wanted invite sort give us thinking billion guide still number habit refreshing every quarter cyclical tailwinds ib enjoyed far think bit headwind put ib number add consensus rote company sort seem little bit stuck secondly perhaps follow consensus beyond got bank growing revenues costs wonder whether footprint level think makes sense markets playing growing little next years thanks much anna cross', 'thing would add slide show billion additional revenue hedge yet looking guidance banking nii going grow billion going somewhat less would sort imply despite volume growth underlying nii hedge would getting really nii growth thinking means go beyond year sort happening terms underlying dynamics anna cross well mean clearly gross hedge income thing would say momentum structural hedge know somewhat enhanced fact deposit stability therefore important grow deposit franchise also thing would also say look back last quarters ed add coming asset balance column buk see getting building momentum asset income think get like million million additional income coming buk alone metric clearly building quarter quarter somewhat led mortgages margin going little bit lower buk whole go corporate exactly nii growth corporate driven lending much driven deposits really important balance nii course moment disproportionately driven structural hedge point future beyond really important within nii comes asset balances start carry momentum much focused', 'good morning thanks taking questions wanted us consumer bank another one around sort risks investors worrying late us consumer bank target business get greater rote next year appreciate quite things changed last months two years since gave guidance terms american airlines book expecting move given got q terms returns could give us bit colour return expect segment delivering obviously greater would helpful think sort realign consensus expectations division little bit topic wanted throw beyond private credit stablecoins nervousness summer months investors around threat stablecoin issuance creates banking system guess side pond given innovations deployed first wanted invite comment venkat terms think potentially shapes business longer term thank anna cross']"
0,51,0_think_growth_us_thank,"['think', 'growth', 'us', 'thank', 'would', 'capital', 'one', 'good', 'going', 'investment']","['thinking income guidance group level greater cagr within obviously investment bank probably us consumer bank uk part also growing volumes greater trying think imply margins terms product margin would expect income growth coming volume side basically past point deposit margin growing substantially hedge obviously probably bit higher hedges coming think margin piece number one number two sounds like investment bank rwas going stay relatively still expect come group roughly speaking much investment bank cost guidance group level modestly growing suggests investment bank getting much cost either trying think decided context obviously investment bank probably one businesses performed expectations last cycle increasingly questions us peers investing putting capital behind investment bank would choose anna cross think product margin uk think question look bit go see go structural hedge slide please thank slide assuming going reinvesting structural hedge maturing yield next three years materially going considerable hedge tailwind across least plan probably beyond everything done around tenure hedge extending going increase momentum longer remains like underpin product margins', 'yes good morning everybody first question lending dynamics anna think covered want drill one point uk corporate bank much moves seen loans deposits well actually first quarter potentially attributable macro uncertainty premise start see scarcity sort restocking cycles companies loading inventory higher prices drive demand working capital lending also compressing corporate cash balances simplistically maps onto quarter quarter evolution loans deposits saw uk corporate bank could coincidence second question disclosure slide uncertainty last months private credit space changed think growth outlook areas think sort consensus building credit risk banks pretty low called absence losses simplistically private credit industry growing pretty quickly internal planning forecast stacked bar chart let say months ago would composition bar chart look diferent today size opportunity set financing changed view thank anna cross okay chris pick first hand venkat look seen q lending growth deposit growth think due anything like sort behaviour changes talk chris think probably coincidence fact consistent seen recent quarters lending growth seeing coming new clients come board also placing deposits us seeing balance remember deposit heavy within uk corporate bank loan deposit ratio think around would expect growing lending faster deposits absolute strategic intent venkat second question venkatakrishnan yes first point growth see lending uk corporate bank largely actions said would strategy said bigger deposit base wanted encourage lending clients grow client book exactly coming question structured financing exposures think look supply credit demand credit credit issue think seeing liquidity dynamics private credit market may mean shrinkage supply credit coming funds take us time see reason thing happened obviously private credit funds giving loans niche fairly well publicised banks regulated things could change us banks may come back generally speaking look way exposed way shown slide working fund managers would imagine absolutely right think growth thing probably going levelling declining next year give time would reasonable assumption anna cross thank chris questions go next question please', 'hi morning thanks questions one back us consumer bank obviously lot going quarter american airlines best egg think previously said q income maybe little bit growth sort reasonable gauge q beyond want check think made earlier comment call suggest maybe case sort check comment made earlier terms get back q seem remember q well talking lot upside consensus uscb nii think moved bit maybe able market expectations sit business would helpful second question cost investments mean clearly good revenue performance helped ib given extra capacity investment appreciate want leave scope investment look cost income ratio highlighted sort north star conviction improving land within low ratio given incremental investment making wondering look market expectations whether ambitious enough thank anna cross okay thank guy recall clearly q said felt q good basis subsequent quarters think given two rate impacts called feels like take us little bit longer build back base guy really saying primarily terms sold securitisation prices although remember bank optionality probably greater optionality participants market choose hold balance sheet feel right thing venkat said conviction business strategically completely unchanged quarter rate expectations still feel organic momentum existing cards business best egg announced respect samsung might also remember q talked pipeline future partners would bring everything one place really referring samsung partnership go terms nii going every single quarter would say made comment clearly analysts responded thank see movement see two particular areas called time one uscb one uk corporate bank move cost investments venkat said focusing investments exactly said would investor update february around platform modernisation around process optimisation around change delivery modernisation making organisation simpler permanent enduring basis clearly investment gives us greater able achieve results short medium term']"
1,30,1_question_costs_cost_year,"['question', 'costs', 'cost', 'year', 'bit', 'scenario', 'questions', 'first', 'terms', 'think']","['good morning everybody thanks much taking questions couple first one noticed cost guidance based average page exchange rate q us dollar since assume actually today exchange rate cost number would somewhat higher trying check revenue guidance also based exchange rates effectively like gear revenue costs weakened dollar terms expectations first point guess partly related actually plausible downside scenario trade flows china us booking something like feels like pretty downside scenario assume go q q actually scenario effectively assuming nothing changes guess nobody idea happen terms changes assuming stay today second question bocom really understand accounting still running valuation billion market value subscribe new shares capital raise assume would done thought really worth much expecting correct would market price rather revisiting think call value use something like thanks much', 'hi thank potential actually kian question thank understand essentially plausible downside tariff scenarios pretty similar closer ecl downside one rather downside two type case coming back terms broader profitability target essentially saying see plausible downside scenario still believe achieve profitability level factoring cost actions would kind additional cost action taken group mitigate impact secondly wanted check look downside one ecl scenario versus seems like china hong kong drawdown quite severe see us maybe little bit bps severe also kind curious downside scenario quite negative perhaps assessed year stage thank', 'couple questions please one net interest income one costs question nii face value banking nii guidance circa billion year given annualising billion h actually imply pretty marked step net interest income want query whether really mean obviously lots moving parts play implies run rate net interest income h guess people carry element conservatism billion much uncertainty around hibor second part first question may help understand levers pulling able continue pulling offset hibor decline specifically thinking deposit passthroughs second question around costs please interested hard pushing organisation right realise cost savings outside think leading bit quiet revolution across firm extent hopeful realise additional cost savings time georges really interested reflections running maximum capacity terms trying modelling point next year think flattish costs next year think consensus got inflation rate costs billion gross saves tells flat next year comment well would great thank much']"
2,12,2_wealth_management_hsbc_question,"['wealth', 'management', 'hsbc', 'question', 'two', 'hang', 'seng', 'questions', 'quarter', 'growth']","['thanks taking questions first question regarding wealth management revenue observed strong rapid growth rate third quarter could elaborate key drivers behind performance sustainability second question credit risk recent weeks seen risk involving us market small banks us risk also jp morgan cautioned market credit risk earnings call although hsbc primary client base segment still like ask whether hsbc exposure concern loans financial institutions private credit corporate sector thanks', 'question still revenue side think revenue growth rote guidance think two key drivers one nii wealth question nii gives hsbc confidence sustainability deposit growth one trend noted say example mainland china rmb appreciation also mainland china starting tax citizens globally actually slow example mainland chinese nationals coming hong kong open new accounts money flow movement bit specific key drivers key path deposit growth number one number two wealth trend think impact wealth well', 'morning pam got two questions first one hang seng glad hear momentum deposit wealth management first quarter pick momentum april proportion momentum could attributed synergies hang seng deal also colour future synergy effects hang seng deal would helpful us second question hsbc global footprint proposed disposal indonesian retail business indonesian market quite important marginal less important market want know hsbc views global franchise markets important markets businesses less important thank']"
