Topic,Count,Name,Representation,Representative_Docs
-1,104,-1_think_thank_growth_questions,"[""think"", ""thank"", ""growth"", ""questions"", ""bit"", ""one"", ""us"", ""question"", ""good"", ""year""]","[""hi thank got two questions one coming back additional scas actually bit surprised return investment really wanted understand bit better like returns type investment high would group kind investment case limit amounts done secondly terms uscb trying understand also split expectation nii versus look forward understood call nii broadly right place think previously mentioned q expect build total income think consensus actually wondering whether also think expectation going also little bit high moment thank anna cross okay thank amit take questions one plan balance trying get balance progressive returns progressive distributions investments business see balance half see rote see eps growth see growth distributions called really trying ensure like everybody shares momentum bank really important"", ""good morning pam good morning georges two questions think pointing much better profit outlook consensus guess laboured discussion around costs takeaway broadly flattish beyond maybe bit growth well lower street think banking nii guidance also speaks two related questions one around income lot moving parts income think coming significant momentum income excess consensus lot moving parts anything help us know like talk much income volatile line items got growth momentum wealth management trade probably growing low digits knows markets probably going backwards got retail piece well feel like something trending well excess able comment respect consensus would really helpful second banking nii billion guidance year great know lot focus lending really deposits matter right alluded strength franchise loans going subdued deposits already growing indeed going continue growing try help us able quantify deposit growth average asset growth might look expect think comfortably grow balance sheet despite subdued demand dynamic key markets think would helps underpin banking nii beyond last question around fx mark market cost guidance example spot fx rate would affect guidance commentary today would really helpful thanks much"", ""hi morning thanks questions one back us consumer bank obviously lot going quarter american airlines best egg think previously said q income maybe little bit growth sort reasonable gauge q beyond want check think made earlier comment call suggest maybe case sort check comment made earlier terms get back q seem remember q well talking lot upside consensus uscb nii think moved bit maybe able market expectations sit business would helpful second question cost investments mean clearly good revenue performance helped ib given extra capacity investment appreciate want leave scope investment look cost income ratio highlighted sort north star conviction improving land within low ratio given incremental investment making wondering look market expectations whether ambitious enough thank anna cross okay thank guy recall clearly q said felt q good basis subsequent quarters think given two rate impacts called feels like take us little bit longer build back base guy really saying primarily terms sold securitisation prices although remember bank optionality probably greater optionality participants market choose hold balance sheet feel right thing venkat said conviction business strategically completely unchanged quarter rate expectations still feel organic momentum existing cards business best egg announced respect samsung might also remember q talked pipeline future partners would bring everything one place really referring samsung partnership go terms nii going every single quarter would say made comment clearly analysts responded thank see movement see two particular areas called time one uscb one uk corporate bank move cost investments venkat said focusing investments exactly said would investor update february around platform modernisation around process optimisation around change delivery modernisation making organisation simpler permanent enduring basis clearly investment gives us greater able achieve results short medium term""]"
0,23,0_hedge_would_going_think,"[""hedge"", ""would"", ""going"", ""think"", ""structural"", ""greater"", ""see"", ""expect"", ""like"", ""uk""]","[""hello anna got two please first rate sensitivity thanks hedge allocation data way helps us bit precise tailwinds barclays uk piece still struggling bit rate sensitivity hear saying lot relating deposit lag hedge maturities year per guidance thought basis point shift curve would knocking hedge income year one quite sure going saying impact might call managed margin rate reduction simply structural hedge large context deposit book would helpful understand low lowest sector quite difficult triangulate second question two bits would like bit clarity barclays uk saw increase early part year methodology policy changes time said would partially reverse rest year seem like reversed yet coming q direction think pointing risk increase fourth quarter right number sticking spreadsheet thanks anna cross okay jonathan let take first one said three years think probably closer around hedge maturing really going got underlying maturing rate around even though rates coming still getting pickup structural hedge really outer years grinds seeing meaningful difference think nothing talk outside helpful"", ""hi thank two questions maybe follow little bit joe first one think consensus outside ib already largely reflects target wondering much scope beat levels mean especially uk rates better guess extending duration hedge suppose deposits bit sticky talking stabilisation reduction hedge size sure seem bit conservative second question capital allocation appreciate commented rwa increase ib bit temporary quarter seen increase curious start see allocation trend towards target could important seeing thank anna cross okay thanks amit terms pathway nii buk parts complex corporate banking international corporate banking indeed private banking wealth management business mean obviously trends seeing around deposits indeed rates helpful see underpin hopefully indication confidence reaching numbers relates hedge said going mark market hedge income quarterly basis gave moving parts remind everybody got maturing three years got maturing yield expect high level roll time investor update swap rates around said would probably yield around movements yield curve might isolation push number bit plan many many parts focused delivering greater rote round second question around capital allocation would reiterate think rwas largely temporary obviously also natural seasonality rwa path within ib think fundamentally though talking strategy firstly holding ib rwas broadly flat levels secondly growing elsewhere going see meaningfully change percentage really fourth quarter onwards first part comes completion tesco bank acquisition expect happen st november also really organic progress making terms balance sheet ca see yet coming strong balance sheet growth expected might remember february said expected uk balance sheet would get smaller got bigger indeed happening seeing good growth momentum mortgage market taking greater share also taking good share high mortgages cards balances"", ""two questions one buk interest rate sensitivity quite striking highlighting impact quarter think said minimal marginal ca remember exact words terms sensitivity rates falling going forward trying understand like temporary thing hedge rolls would expect sensitivity something sort structurally changed obviously way saw nii grow strongly back higher rates question us margin get comments still targeting greater think said lot incentive programs loyalty programs running moment help could give us understand business perspective works obviously us loyalty program huge part business huge part attracting volumes customers etc trying think expecting change market broadly offering going change going allow reduce loyalty offerings still maintain momentum business thanks much anna cross thanks ed take first one gave guidance interest rate sensitivity previous quarter really showed parallel shift first year saw build time way think ed first year dominated lag effect regulatory lag particularly uk outer years see impact hedge grinding lower response parallel movement really going go back said products product margin page clarify got two offsetting impacts negative movement delay pricing repricing liabilities offset coming asset margins expanding might expect downward movement overall would expect liability margins start compress see asset margins widening course got specific actions around things like high mortgages perhaps driving little bit faster offsets actually would expect bit lag way months pan second question us margin yes nim clearly lower beginning year indeed last year expectation still greater nim business actions taking underpin taking place current quarter look sort sequentially across last quarters things going natural seasonality business see purchase activity borrowing activity go holiday season much seasonal us uk see natural shape second thing remember risk transfer meant swapped nii income obviously rote accretive overall see movement geography p l balance sheet thirdly called couple things observing customer matter actually think unhelpful two first customers managing balance well repaying perhaps little bit faster expected context broader discussions us economy think unhelpful see side positive impairment uncomfortable second point customers using rewards necessarily faster would previously expected franchise whilst puts bit headwind nim means really engaged card really engaged brand program good news kind explains go beyond q think build greater things talked february number one repricing repricing action actually taken place complete happens customers actually purchase new terms conditions going drip nim second action really around funding mix around retail funding want get around going take us build launched tiered savings products underpin see time things really important last thing would add key part move start morph portfolio towards richer mix retail see announced new partnership gm another plank strategy going get greater immediately going see sort emerge next quarters greater still target feel like track edward firth great thanks much anna cross okay thanks ed next question please""]"
1,12,1_cost_costs_billion_terms,"[""cost"", ""costs"", ""billion"", ""terms"", ""bit"", ""would"", ""like"", ""understand"", ""growth"", ""question""]","[""wanted come back cost know give cost guidance outer years would like understand moving parts ex disposals think terms drivers wage inflation technology inflation offset side investments could outline us put context think growth rate second question odi hear impact thanks detailed numbers really would like understand slow process client acquisition way onshore china clear discussed july particular impact would helpful lastly thanks deposit breakdown helpful terms new disclosure"", ""good morning everybody thanks much taking questions couple first one noticed cost guidance based average page exchange rate q us dollar since assume actually today exchange rate cost number would somewhat higher trying check revenue guidance also based exchange rates effectively like gear revenue costs weakened dollar terms expectations first point guess partly related actually plausible downside scenario trade flows china us booking something like feels like pretty downside scenario assume go q q actually scenario effectively assuming nothing changes guess nobody idea happen terms changes assuming stay today second question bocom really understand accounting still running valuation billion market value subscribe new shares capital raise assume would done thought really worth much expecting correct would market price rather revisiting think call value use something like thanks much"", ""good morning two please firstly capital return secondly costs buybacks could clarify billion obviously step billion think permanent step given need absorb upfront restructuring charges billion reflect shorter timing period q q results compared quarters first question second question want another stab costs ben asked think walk clear think walk assume similar level inflation investment fair assumption future years view well eyeball slide cost phasing looks like million step cost saves full run rate recognised looking increase guide less another incremental million cost saves billion cost number anything give us terms frame explicitly cost base would really helpful thank""]"
2,11,2_growth_banking_think_lending,"[""growth"", ""banking"", ""think"", ""lending"", ""uk"", ""credit"", ""corporate"", ""much"", ""bank"", ""nii""]","[""thank taking question georges pam good morning really banking nii couple may please first q q banking nii held pretty much flat whereas interest rates would added headwind per calculation million please tell us much benefit deposit price high improved asset makes structural hedge one second banking nii around billion guidance much assuming average interest earning assets growth see deposit growth consistent somehow yoy basis showing growth q q growth previously yoy also could show growth page around billion outcome around billion tick box help us meet target thank"", ""couple revenues please first one coming investment bank revenue performance well peers even adjusting flagged particularly case ficc fees even equities quite low q base thanks much colour given us terms product narrative wondering target lot market share gain quite lot improvement return assets wondering think timing perspective similar sort time frame venkat talking terms euro rates benefits coming thinking seeing market share rorwa benefits coming quarters realistic ib whole second one back barclays uk actually anna talked mortgage flows line wanted clarify talking gross lending approvals think approvals particularly significantly anna cross okay thanks rohit take questions start first venkat might wish add right two particular quirks like equities ficc numbers equities current quarter called actually excluding business dollar terms actually believe compares favourably us peers demonstrates making progress called cash called prime called equity derivatives course one focus areas ficc hand might recall time last year talking income colour comparisons little bit even split dollar terms believe lines unfavourably us peers things going pleased progress securitised products previous quarters would said small business still able monetise much effectively investments put across banking"", ""yes good morning everybody first question lending dynamics anna think covered want drill one point uk corporate bank much moves seen loans deposits well actually first quarter potentially attributable macro uncertainty premise start see scarcity sort restocking cycles companies loading inventory higher prices drive demand working capital lending also compressing corporate cash balances simplistically maps onto quarter quarter evolution loans deposits saw uk corporate bank could coincidence second question disclosure slide uncertainty last months private credit space changed think growth outlook areas think sort consensus building credit risk banks pretty low called absence losses simplistically private credit industry growing pretty quickly internal planning forecast stacked bar chart let say months ago would composition bar chart look diferent today size opportunity set financing changed view thank anna cross okay chris pick first hand venkat look seen q lending growth deposit growth think due anything like sort behaviour changes talk chris think probably coincidence fact consistent seen recent quarters lending growth seeing coming new clients come board also placing deposits us seeing balance remember deposit heavy within uk corporate bank loan deposit ratio think around would expect growing lending faster deposits absolute strategic intent venkat second question venkatakrishnan yes first point growth see lending uk corporate bank largely actions said would strategy said bigger deposit base wanted encourage lending clients grow client book exactly coming question structured financing exposures think look supply credit demand credit credit issue think seeing liquidity dynamics private credit market may mean shrinkage supply credit coming funds take us time see reason thing happened obviously private credit funds giving loans niche fairly well publicised banks regulated things could change us banks may come back generally speaking look way exposed way shown slide working fund managers would imagine absolutely right think growth thing probably going levelling declining next year give time would reasonable assumption anna cross thank chris questions go next question please""]"
3,11,3_wealth_growth_think_one,"[""wealth"", ""growth"", ""think"", ""one"", ""hsbc"", ""income"", ""two"", ""quarter"", ""question"", ""kong""]","[""good morning noel good morning georges first question income maths correct calculation shows adjusted income billion quarter compared billion year ago million growth loans transaction banking relatively stable seems gbm contributed lot quarter understand business seasonality volatile expect momentum continue going forward think second half last year relatively weak comparison second question broader one realised speak less focusing asia days used emphasising global network yes sometimes ways intersect wondering still focus exploring growth opportunities asia wealth business future capital distribution hierarchy preference among dividends growth thank"", ""thanks much taking questions maybe two well staying georges point distributions looking moving parts capital one interesting things quarter move rwas wondering could give us little bit colour growth rwas billion increase driven asset quality trends think calling predominantly asia think outlook rwa growth even loan growth muted get sense amount capital quantum terms distributions second question noel question broader thoughts noel five years preceding pretty extraordinary hsbc guess lot people markets given pandemic look hsbc exited canada announced argentina process exiting quite smaller markets return tangible equity already buying back stock billion quarter got special dividend well guess really interested onwards think left group progress"", ""three questions first one income look breakdown income seems like wealth quite well transaction banking weakness think worldwide know reason triangulate full year drivers first one second one hong kong hong kong relaxing ltv ratios think basically ltv relaxed purchase requirements stamp duty requirements residential properties think significant jump transactions thinking positive mortgages least big mortgage providers hong kong would impact outlook terms growth particularly related hong kong second one last one think cost look first quarter think cost including levy look track cost growth year""]"
4,11,4_downside_scenario_ecl_impairment,"[""downside"", ""scenario"", ""ecl"", ""impairment"", ""hong"", ""kong"", ""question"", ""cre"", ""thank"", ""trade""]","[""hi thank potential actually kian question thank understand essentially plausible downside tariff scenarios pretty similar closer ecl downside one rather downside two type case coming back terms broader profitability target essentially saying see plausible downside scenario still believe achieve profitability level factoring cost actions would kind additional cost action taken group mitigate impact secondly wanted check look downside one ecl scenario versus seems like china hong kong drawdown quite severe see us maybe little bit bps severe also kind curious downside scenario quite negative perhaps assessed year stage thank"", ""hi georges hi pam kunpeng china securities thank taking question two questions first also plausible downside trade scenario compare two scenario tests one trade one ecl got set assumptions ecl tests annual report compare two tests assumptions trade test better worse mean downside scenario better worse set assumptions used ecl test also low revenue impact revenue every year revenue thereafter first question second question could please give us colour latest trend hong kong cre thank"", ""two questions impairments first one related bocom impairment especially one viu test seems conduct viu test every quarter charge impairments every quarter seems impairment charges always come together bad news first charge viu impairment fourth quarter got french disposal loss got slight miss cost control charged first time quarter got bocom dilution impairment also cover chinese banks fundamentals weak sudden drops fundamentals second quarter seems viu impairment charges always come together bad news share us little bit colour factors triggering kind viu impairment charge second question share us views little bit longer term hong kong cre outlook increased credit cost assumption going forward due hong kong cre pressure chance hong kong cre pressure increase ecl assumptions going forward two questions thank""]"
5,9,5_capital_months_think_around,"[""capital"", ""months"", ""think"", ""around"", ""guess"", ""us"", ""bit"", ""like"", ""thanks"", ""one""]","[""ask capital firstly could update us update us cards business think think gbp billion sure number number additional assets guess put pro forma takes really little bit guess first question still right sort number second question thought german consumer disposal would pay makes sense therefore still plenty capital second half sounds like going likely right really thinking q going low point capital think terms capital distribution second half anna cross thanks ed lot let try keep change guidance around us cards regulatory model changes still expecting still expecting third quarter"", ""good morning thanks taking questions wanted us consumer bank another one around sort risks investors worrying late us consumer bank target business get greater rote next year appreciate quite things changed last months two years since gave guidance terms american airlines book expecting move given got q terms returns could give us bit colour return expect segment delivering obviously greater would helpful think sort realign consensus expectations division little bit topic wanted throw beyond private credit stablecoins nervousness summer months investors around threat stablecoin issuance creates banking system guess side pond given innovations deployed first wanted invite comment venkat terms think potentially shapes business longer term thank anna cross"", ""hey georges hey pam thanks much various updates sensitivities given us two questions around customer behaviour wondered observed material shift way customers transacting seen forward indicators around sentiment signs shift particularly corporate customers might receiving end trade tariffs insights would really helpful second definitely get message around continuing execute existing strategy guess two related points one around capital returns great announced billion buyback talking subdued outlook lending extension rwas presumably might quite capital generative year seems like committed distributions despite uncertainty uncertain backdrop pace distributions executing feels like committed right read confident around things like buyback sustainability page related part question around talk divestiture track billion terms redeploy think talked potential revenue opportunities redeploy cost savings come minded delay redeploy basically given volatile backdrop thank""]"
